캐릭터,상황,메시지
양,정답,맞았어! 잘하고 있어.
양,정답,그렇지. 그게 답이야.
양,정답,오 좋아. 착착 되네.
양,정답,{이름} 오늘 감 좋은데?
양,정답,응 맞아. 이제 이건 네 거야.
양,정답,딱 그거야. 잘 골랐어.
양,힌트정답,힌트 보고 푸는 것도 실력이야.
양,힌트정답,그렇게 찾아가면 돼. 좋아.
양,힌트정답,모를 때 물어보는 거 잘한 거야.
양,오답,"아, 이건 {정답}이야. 나도 자꾸 헷갈려."
양,오답,{정답}이래. 이건 나도 매번 헷갈리더라.
양,오답,"음, {정답}이구나. 다음에 또 만나자."
양,오답,이건 {정답}이야. 어른도 헷갈리는 거야.
고양이,시작,왔구나. …기다린 건 아니라옹.
고양이,시작,"그래, 슬슬 시작해 보자옹."
고양이,정답,"…뭐, 나쁘지 않은데. 잘했다옹."
고양이,정답,흥. 네가 해낼 줄 알았어. 야옹.
고양이,정답,봐줄 만한데? 아니… 꽤 잘했다옹.
고양이,정답,"음, 인정. 이건 진짜 인정이라옹."
고양이,정답,"{이름}, 좀 하는데. …칭찬 맞다옹."
고양이,정답,"그래, 그렇게 하면 돼. 바로 그거라옹."
고양이,정답,"오, 한 번에 맞혔네. 대단하다옹."
고양이,힌트정답,힌트 쓴 게 뭐 어때서. 답 맞혔잖아옹.
고양이,힌트정답,모르면 보는 거야. 그게 똑똑한 거라옹.
고양이,힌트정답,나도 가끔 봐. …아무한테도 말하지 마라옹.
고양이,힌트정답,힌트 보고도 맞히는 게 어디야. 잘했다옹.
고양이,오답,{정답}이야. 나도 처음엔 몰랐다옹.
고양이,오답,"흥, 이건 {정답}. 헷갈릴 만하다옹."
고양이,오답,"{정답}이거든. 뭐, 그럴 수 있지 야옹."
고양이,오답,{정답}. …다음엔 알 거야. 걱정 마라옹.
고양이,마스터,"완전히 외웠네. 뭐, 알고 있었다옹."
고양이,새아이템,그거 나쁘지 않은데. 어울린다옹.
고양이,오랜만,오랜만이네. …기다린 거 아니라옹.
고양이,끝,오늘은 여기까지. 수고했다옹.
고양이,끝,"흥, 벌써 가? …잘 가라옹."
토끼,정답,우와 맞았어!
토끼,정답,좋아 좋아! 그거야!
토끼,정답,{이름} 잘한다!
토끼,정답,오 이거 어려운 건데 해냈네!
토끼,정답,계속 해보자! 재밌다!
토끼,정답,맞았어! 신난다!
토끼,힌트정답,힌트 잘 썼다! 그거 똑똑한 방법이야.
토끼,힌트정답,힌트 보는 거 나도 좋아해!
토끼,힌트정답,방법을 알았으니까 다음엔 더 쉬울 거야!
토끼,오답,{정답}이래! 나도 방금 알았어.
토끼,오답,오 {정답}이구나. 하나 배웠다!
토끼,오답,이건 {정답}! 다음에 또 나올 거야.
코알라,정답,(하품) 오… 맞췄네… 대단해…
코알라,정답,음… 잘했어… 천천히 해도 되고…
코알라,정답,그거 맞아… 좋다…
코알라,정답,{이름}… 잘하고 있어…
코알라,정답,응… 그렇지… 서두를 거 없어…
코알라,정답,좋아… 하나 더 해볼까… 아니면 쉬어도 되고…
코알라,힌트정답,힌트… 좋지… 나도 늘 봐…
코알라,힌트정답,천천히 봐도 돼… 시간 많아…
코알라,힌트정답,그렇게 하는 거야… 편하게…
코알라,오답,아… {정답}이구나… 나도 자주 그래…
코알라,오답,{정답}이래… 뭐 그럴 수도 있지…
코알라,오답,음… {정답}… 다음에 또 보자…
카피바라,정답,오~ 맞았네~
카피바라,정답,그렇지~ 잘했어~
카피바라,정답,{이름} 하는구나~
카피바라,정답,좋다~ 그거야~
카피바라,정답,응 맞아~ 편하게 하면 돼~
카피바라,정답,오케이~ 다음 거~
카피바라,힌트정답,힌트 봤구나~ 잘했어~
카피바라,힌트정답,그거 쓰라고 있는 거야~
카피바라,힌트정답,모르면 보면 되지~
카피바라,오답,아 그렇구나~ {정답}이래. 뭐 그럴 수도 있지~
카피바라,오답,{정답}이었네~ 나도 몰랐어~
카피바라,오답,음~ {정답}~ 별거 아니야~
공통,시작,천천히 해도 괜찮아.
공통,시작,오늘도 같이 해볼까?
공통,시작,급할 거 없어. 시작해보자.
공통,시작,{이름} 왔구나. 반가워.
공통,마스터,이건 이제 완전히 네 거야!
공통,마스터,와 이거 다 외웠네!
공통,마스터,이제 이건 안 봐도 나오겠다.
공통,새아이템,우와 새로 생겼다!
공통,새아이템,이거 잘 어울린다!
공통,새아이템,좋은 거 골랐네!
공통,오랜만,오랜만이야! 잘 있었어?
공통,오랜만,보고 싶었어. 또 왔네!
공통,오랜만,잘 지냈어? 천천히 다시 해보자.
공통,끝,오늘 끝! 내일 또 보자.
공통,끝,오늘 몫 다 했어. 잘했어.
공통,끝,여기까지! 푹 쉬어.
공통,끝,{이름} 오늘도 고생했어.
