문제,정답,오답1,오답2,오답3,힌트,묶음
식물이 물을 빨아들이는 곳은?,뿌리,,,,땅속에 있는 부분이야,식물의 구조
식물이 햇빛을 받아 양분을 만드는 곳은?,잎,,,,넓적하고 초록색이야,식물의 구조
뿌리가 빨아들인 물이 지나가는 길은?,줄기,,,,뿌리와 잎을 이어주는 곳,식물의 구조
씨를 만들어 열매가 되는 것은?,꽃,,,,벌과 나비가 찾아와,식물의 구조
식물이 양분을 만드는 일을 무엇이라고 할까?,광합성,,,,햇빛 광 자를 써,식물이 사는 법
광합성에 꼭 필요한 것 세 가지는 햇빛과 물과?,이산화탄소,,,,공기 중에 있는 기체야,식물이 사는 법
잎에서 물이 수증기가 되어 빠져나가는 것은?,증산작용,,,,더울 때 땀이 나는 것과 비슷해,식물이 사는 법
식물이 광합성을 하면 나오는 기체는?,산소,,,,우리가 숨 쉴 때 마시는 것,식물이 사는 법
사막에서 물을 줄기에 저장하는 식물은?,선인장,,,,가시가 있어,사는 곳에 따라
물에 떠서 사는 잎이 넓은 식물은?,수련,,,,연못에서 봤을 거야,사는 곳에 따라
잎이 바늘처럼 가늘어 겨울에도 푸른 나무는?,소나무,,,,솔방울이 열려,사는 곳에 따라
가을에 잎을 떨어뜨리는 나무를 무엇이라 할까?,낙엽수,,,,떨어질 낙 자를 써,사는 곳에 따라
