문제,정답,오답1,오답2,오답3,힌트,묶음
6 ÷ 2,3,,,,,2로 나누기
8 ÷ 2,4,,,,,2로 나누기
10 ÷ 2,5,,,,,2로 나누기
14 ÷ 2,7,,,,,2로 나누기
9 ÷ 3,3,,,,,3으로 나누기
12 ÷ 3,4,,,,,3으로 나누기
18 ÷ 3,6,,,,,3으로 나누기
21 ÷ 3,7,,,,,3으로 나누기
16 ÷ 4,4,,,,,4로 나누기
24 ÷ 4,6,,,,,4로 나누기
28 ÷ 4,7,,,,,4로 나누기
32 ÷ 4,8,,,,,4로 나누기
25 ÷ 5,5,,,,,5로 나누기
35 ÷ 5,7,,,,,5로 나누기
45 ÷ 5,9,,,,,5로 나누기
24 ÷ 6,4,,,,,6으로 나누기
36 ÷ 6,6,,,,,6으로 나누기
42 ÷ 6,7,,,,,6으로 나누기
48 ÷ 6,8,,,,,6으로 나누기
49 ÷ 7,7,,,,,7로 나누기
56 ÷ 7,8,,,,,7로 나누기
63 ÷ 7,9,,,,,7로 나누기
48 ÷ 8,6,,,,,8로 나누기
64 ÷ 8,8,,,,,8로 나누기
