문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
12 ÷ 3,4,,,,곱셈으로 바꿔봐. 3 × ? = 12,나눗셈,
18 ÷ 3,6,,,,곱셈으로 바꿔봐. 3 × ? = 18,나눗셈,
16 ÷ 4,4,,,,곱셈으로 바꿔봐. 4 × ? = 16,나눗셈,
21 ÷ 3,7,,,,곱셈으로 바꿔봐. 3 × ? = 21,나눗셈,
24 ÷ 4,6,,,,곱셈으로 바꿔봐. 4 × ? = 24,나눗셈,
24 ÷ 3,8,,,,곱셈으로 바꿔봐. 3 × ? = 24,나눗셈,
28 ÷ 4,7,,,,곱셈으로 바꿔봐. 4 × ? = 28,나눗셈,
36 ÷ 6,6,,,,곱셈으로 바꿔봐. 6 × ? = 36,나눗셈,
32 ÷ 4,8,,,,곱셈으로 바꿔봐. 4 × ? = 32,나눗셈,
42 ÷ 6,7,,,,곱셈으로 바꿔봐. 6 × ? = 42,나눗셈,
49 ÷ 7,7,,,,곱셈으로 바꿔봐. 7 × ? = 49,나눗셈,
48 ÷ 6,8,,,,곱셈으로 바꿔봐. 6 × ? = 48,나눗셈,
56 ÷ 7,8,,,,곱셈으로 바꿔봐. 7 × ? = 56,나눗셈,
64 ÷ 8,8,,,,곱셈으로 바꿔봐. 8 × ? = 64,나눗셈,
30 ÷ 5,6,,,,곱셈으로 바꿔봐. 5 × ? = 30,나눗셈,
6 ÷ 3,2,,,,3씩 몇 번 덜어낼 수 있어?,나눗셈,
8 ÷ 4,2,,,,4씩 몇 번 덜어낼 수 있어?,나눗셈,
9 ÷ 3,3,,,,3씩 몇 번 덜어낼 수 있어?,나눗셈,
12 ÷ 4,3,,,,4씩 몇 번 덜어낼 수 있어?,나눗셈,
15 ÷ 5,3,,,,5씩 몇 번 덜어낼 수 있어?,나눗셈,
16 ÷ 8,2,,,,8씩 몇 번 덜어낼 수 있어?,나눗셈,
18 ÷ 6,3,,,,6씩 몇 번 덜어낼 수 있어?,나눗셈,
20 ÷ 5,4,,,,5씩 몇 번 덜어낼 수 있어?,나눗셈,
24 ÷ 8,3,,,,8씩 몇 번 덜어낼 수 있어?,나눗셈,
28 ÷ 7,4,,,,7씩 몇 번 덜어낼 수 있어?,나눗셈,
4 × ? = 24,6,,,,24를 4로 나누면 돼,곱셈과 나눗셈,
6 × ? = 42,7,,,,42를 6로 나누면 돼,곱셈과 나눗셈,
7 × ? = 35,5,,,,35를 7로 나누면 돼,곱셈과 나눗셈,
8 × ? = 56,7,,,,56를 8로 나누면 돼,곱셈과 나눗셈,
9 × ? = 54,6,,,,54를 9로 나누면 돼,곱셈과 나눗셈,
3 × ? = 12,4,,,,12을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 4 = 12,3,,,,12을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
3 × ? = 18,6,,,,18을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 6 = 18,3,,,,18을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
3 × ? = 21,7,,,,21을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 7 = 21,3,,,,21을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
3 × ? = 24,8,,,,24을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 24,3,,,,24을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
4 × ? = 16,4,,,,16을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 4 = 16,4,,,,16을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 6 = 24,4,,,,24을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
4 × ? = 28,7,,,,28을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 7 = 28,4,,,,28을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
4 × ? = 32,8,,,,32을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 32,4,,,,32을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
6 × ? = 36,6,,,,36을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
? × 6 = 36,6,,,,36을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
? × 7 = 42,6,,,,42을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
6 × ? = 48,8,,,,48을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 48,6,,,,48을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
7 × ? = 49,7,,,,49을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
? × 7 = 49,7,,,,49을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
7 × ? = 56,8,,,,56을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 56,7,,,,56을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
8 × ? = 64,8,,,,64을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 64,8,,,,64을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
3 × ? = 9,3,,,,9을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 3 = 9,3,,,,9을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
4 × ? = 20,5,,,,20을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 5 = 20,4,,,,20을(를) 5(으)로 나누면 돼,곱셈과 나눗셈,
5 × ? = 30,6,,,,30을(를) 5(으)로 나누면 돼,곱셈과 나눗셈,
? × 6 = 30,5,,,,30을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
5 × ? = 35,7,,,,35을(를) 5(으)로 나누면 돼,곱셈과 나눗셈,
? × 7 = 35,5,,,,35을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
5 × ? = 40,8,,,,40을(를) 5(으)로 나누면 돼,곱셈과 나눗셈,
? × 8 = 40,5,,,,40을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
6 × ? = 54,9,,,,54을(를) 6(으)로 나누면 돼,곱셈과 나눗셈,
? × 9 = 54,6,,,,54을(를) 9(으)로 나누면 돼,곱셈과 나눗셈,
7 × ? = 63,9,,,,63을(를) 7(으)로 나누면 돼,곱셈과 나눗셈,
? × 9 = 63,7,,,,63을(를) 9(으)로 나누면 돼,곱셈과 나눗셈,
8 × ? = 72,9,,,,72을(를) 8(으)로 나누면 돼,곱셈과 나눗셈,
? × 9 = 72,8,,,,72을(를) 9(으)로 나누면 돼,곱셈과 나눗셈,
3 × ? = 27,9,,,,27을(를) 3(으)로 나누면 돼,곱셈과 나눗셈,
? × 9 = 27,3,,,,27을(를) 9(으)로 나누면 돼,곱셈과 나눗셈,
4 × ? = 36,9,,,,36을(를) 4(으)로 나누면 돼,곱셈과 나눗셈,
? × 9 = 36,4,,,,36을(를) 9(으)로 나누면 돼,곱셈과 나눗셈,
21 ÷ 7,3,,,,곱셈으로 바꿔봐. ? × 7 = 21,나눗셈,
24 ÷ 6,4,,,,곱셈으로 바꿔봐. ? × 6 = 24,나눗셈,
32 ÷ 8,4,,,,곱셈으로 바꿔봐. ? × 8 = 32,나눗셈,
42 ÷ 7,6,,,,곱셈으로 바꿔봐. ? × 7 = 42,나눗셈,
48 ÷ 8,6,,,,곱셈으로 바꿔봐. ? × 8 = 48,나눗셈,
56 ÷ 8,7,,,,곱셈으로 바꿔봐. ? × 8 = 56,나눗셈,
사탕 24개를 4명이 똑같이 나누면 한 명이 몇 개일까?,6,,,,4명에게 하나씩 돌리면 몇 바퀴 돌 수 있을까?,나눗셈 문장제,심화
색연필 18개를 3명이 똑같이 나누면 한 명이 몇 개일까?,6,,,,3명에게 하나씩 돌리면 몇 바퀴 돌 수 있을까?,나눗셈 문장제,심화
딱지 35개를 5명이 똑같이 나누면 한 명이 몇 개일까?,7,,,,5명에게 하나씩 돌리면 몇 바퀴 돌 수 있을까?,나눗셈 문장제,심화
