문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
3cm는 몇 mm일까?,30,,,,1cm는 10mm야,길이 바꾸기,
7cm는 몇 mm일까?,70,,,,1cm는 10mm야,길이 바꾸기,
12cm는 몇 mm일까?,120,,,,1cm는 10mm야,길이 바꾸기,
25cm는 몇 mm일까?,250,,,,1cm는 10mm야,길이 바꾸기,
40cm는 몇 mm일까?,400,,,,1cm는 10mm야,길이 바꾸기,
50mm는 몇 cm일까?,5,,,,10mm가 1cm야,길이 바꾸기,
80mm는 몇 cm일까?,8,,,,10mm가 1cm야,길이 바꾸기,
120mm는 몇 cm일까?,12,,,,10mm가 1cm야,길이 바꾸기,
300mm는 몇 cm일까?,30,,,,10mm가 1cm야,길이 바꾸기,
460mm는 몇 cm일까?,46,,,,10mm가 1cm야,길이 바꾸기,
2m는 몇 cm일까?,200,,,,1m는 100cm야,길이 바꾸기,
5m는 몇 cm일까?,500,,,,1m는 100cm야,길이 바꾸기,
9m는 몇 cm일까?,900,,,,1m는 100cm야,길이 바꾸기,
14m는 몇 cm일까?,1400,,,,1m는 100cm야,길이 바꾸기,
30m는 몇 cm일까?,3000,,,,1m는 100cm야,길이 바꾸기,
1km는 몇 m일까?,1000,,,,1km는 1000m야,길이 바꾸기,
3km는 몇 m일까?,3000,,,,1km는 1000m야,길이 바꾸기,
6km는 몇 m일까?,6000,,,,1km는 1000m야,길이 바꾸기,
12km는 몇 m일까?,12000,,,,1km는 1000m야,길이 바꾸기,
1분는 몇 초일까?,60,,,,1분은 60초야,시간 바꾸기,
2분는 몇 초일까?,120,,,,1분은 60초야,시간 바꾸기,
1분 30초는 몇 초일까?,90,,,,1분은 60초야,시간 바꾸기,
2분 15초는 몇 초일까?,135,,,,1분은 60초야,시간 바꾸기,
3분 40초는 몇 초일까?,220,,,,1분은 60초야,시간 바꾸기,
5분는 몇 초일까?,300,,,,1분은 60초야,시간 바꾸기,
120초는 몇 분일까?,2,,,,60초가 1분이야,시간 바꾸기,
180초는 몇 분일까?,3,,,,60초가 1분이야,시간 바꾸기,
240초는 몇 분일까?,4,,,,60초가 1분이야,시간 바꾸기,
300초는 몇 분일까?,5,,,,60초가 1분이야,시간 바꾸기,
420초는 몇 분일까?,7,,,,60초가 1분이야,시간 바꾸기,
1m 20cm는 몇 cm일까?,120,,,,1m가 100cm야. 거기에 20을(를) 더해,섞인 단위,심화
2m 45cm는 몇 cm일까?,245,,,,2m가 200cm야. 거기에 45을(를) 더해,섞인 단위,심화
3m 8cm는 몇 cm일까?,308,,,,3m가 300cm야. 거기에 8을(를) 더해,섞인 단위,심화
1m 75cm는 몇 cm일까?,175,,,,1m가 100cm야. 거기에 75을(를) 더해,섞인 단위,심화
4m 30cm는 몇 cm일까?,430,,,,4m가 400cm야. 거기에 30을(를) 더해,섞인 단위,심화
5cm 4mm는 몇 mm일까?,54,,,,5cm가 50mm야,섞인 단위,심화
12cm 7mm는 몇 mm일까?,127,,,,12cm가 120mm야,섞인 단위,심화
8cm 2mm는 몇 mm일까?,82,,,,8cm가 80mm야,섞인 단위,심화
20cm 6mm는 몇 mm일까?,206,,,,20cm가 200mm야,섞인 단위,심화
150cm와 1m 40cm 중 더 긴 것은 몇 cm일까?,150,,,,둘 다 cm로 바꿔서 비교해봐,길이 비교,심화
208cm와 2m 30cm 중 더 긴 것은 몇 cm일까?,230,,,,둘 다 cm로 바꿔서 비교해봐,길이 비교,심화
95cm와 1m 5cm 중 더 긴 것은 몇 cm일까?,105,,,,둘 다 cm로 바꿔서 비교해봐,길이 비교,심화
312cm와 2m 90cm 중 더 긴 것은 몇 cm일까?,312,,,,둘 다 cm로 바꿔서 비교해봐,길이 비교,심화
3시 20분에서 45분이 지나면 몇 시 몇 분일까?,4시 5분,,,,20분에 45분을 더하면 60분이 넘어,시간 계산,심화
1시 50분에서 30분이 지나면 몇 시 몇 분일까?,2시 20분,,,,50분에 30분을 더하면 60분이 넘어,시간 계산,심화
4시 35분에서 40분이 지나면 몇 시 몇 분일까?,5시 15분,,,,35분에 40분을 더하면 60분이 넘어,시간 계산,심화
2시 10분에서 55분이 지나면 몇 시 몇 분일까?,3시 5분,,,,10분에 55분을 더하면 60분이 넘어,시간 계산,심화
5시 45분에서 25분이 지나면 몇 시 몇 분일까?,6시 10분,,,,45분에 25분을 더하면 60분이 넘어,시간 계산,심화
