문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
0.1이 3개면 얼마일까?,0.3,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1이 5개면 얼마일까?,0.5,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1이 7개면 얼마일까?,0.7,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1이 9개면 얼마일까?,0.9,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1이 2개면 얼마일까?,0.2,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1이 6개면 얼마일까?,0.6,,,,0.1을 그만큼 모은 거야,소수 읽기,
0.1 + 0.2,0.3,,,,0.1이 1개하고 2개야,소수 더하기,
0.2 + 0.3,0.5,,,,0.1이 2개하고 3개야,소수 더하기,
0.4 + 0.2,0.6,,,,0.1이 4개하고 2개야,소수 더하기,
0.5 + 0.3,0.8,,,,0.1이 5개하고 3개야,소수 더하기,
0.6 + 0.3,0.9,,,,0.1이 6개하고 3개야,소수 더하기,
0.7 + 0.4,1.1,,,,0.1이 7개하고 4개야,소수 더하기,
0.9 − 0.8,0.1,,,,0.1이 9개에서 8개를 빼면?,소수 빼기,
0.7 − 0.5,0.2,,,,0.1이 7개에서 5개를 빼면?,소수 빼기,
0.8 − 0.5,0.3,,,,0.1이 8개에서 5개를 빼면?,소수 빼기,
0.9 − 0.5,0.4,,,,0.1이 9개에서 5개를 빼면?,소수 빼기,
0.6 − 0.1,0.5,,,,0.1이 6개에서 1개를 빼면?,소수 빼기,
0.8 − 0.2,0.6,,,,0.1이 8개에서 2개를 빼면?,소수 빼기,
1/2와 1/3 중 더 큰 것은?,1/2,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
1/4와 1/5 중 더 큰 것은?,1/4,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
2/5와 1/5 중 더 큰 것은?,2/5,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
3/7와 2/7 중 더 큰 것은?,3/7,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
1/6와 1/8 중 더 큰 것은?,1/6,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
5/9와 4/9 중 더 큰 것은?,5/9,,,,똑같은 것을 몇 조각으로 나눴는지 생각해봐,분수 크기,
전체를 똑같이 2로 나눈 것 중 1을 뭐라고 쓸까?,1/2,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
전체를 똑같이 3로 나눈 것 중 1을 뭐라고 쓸까?,1/3,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
전체를 똑같이 4로 나눈 것 중 1을 뭐라고 쓸까?,1/4,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
전체를 똑같이 5로 나눈 것 중 1을 뭐라고 쓸까?,1/5,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
전체를 똑같이 6로 나눈 것 중 1을 뭐라고 쓸까?,1/6,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
전체를 똑같이 8로 나눈 것 중 1을 뭐라고 쓸까?,1/8,,,,"아래에 나눈 수, 위에 가진 수",분수 쓰기,
0.7와(과) 0.5 중 더 큰 것은?,0.7,,,,0.1이 몇 개인지 세어봐,소수 비교,심화
0.3와(과) 0.8 중 더 큰 것은?,0.8,,,,0.1이 몇 개인지 세어봐,소수 비교,심화
0.9와(과) 0.4 중 더 큰 것은?,0.9,,,,0.1이 몇 개인지 세어봐,소수 비교,심화
0.2와(과) 0.6 중 더 큰 것은?,0.6,,,,0.1이 몇 개인지 세어봐,소수 비교,심화
1/2을(를) 소수로 쓰면?,0.5,,,,2조각 중 1조각이야,분수를 소수로,심화
1/4을(를) 소수로 쓰면?,0.25,,,,4조각 중 1조각이야,분수를 소수로,심화
3/4을(를) 소수로 쓰면?,0.75,,,,4조각 중 3조각이야,분수를 소수로,심화
1/5을(를) 소수로 쓰면?,0.2,,,,5조각 중 1조각이야,분수를 소수로,심화
2/5을(를) 소수로 쓰면?,0.4,,,,5조각 중 2조각이야,분수를 소수로,심화
0.3 + 0.5 − 0.2는 얼마일까?,0.6,,,,앞에서부터 차례로 계산해,두 단계,심화
0.4 + 0.2 − 0.6는 얼마일까?,0.0,,,,앞에서부터 차례로 계산해,두 단계,심화
0.7 + 0.1 − 0.3는 얼마일까?,0.5,,,,앞에서부터 차례로 계산해,두 단계,심화
0.2 + 0.8 − 0.4는 얼마일까?,0.6,,,,앞에서부터 차례로 계산해,두 단계,심화
"1/2, 1/3, 1/4 중 가장 큰 것은?",1/2,1/3,1/4,1/5,조각이 클수록 나눈 수가 작아,분수 비교,심화
"2/5, 3/5, 1/5 중 가장 큰 것은?",3/5,2/5,1/5,3/8,조각이 클수록 나눈 수가 작아,분수 비교,심화
"1/6, 1/3, 1/2 중 가장 큰 것은?",1/2,1/6,1/3,1/5,조각이 클수록 나눈 수가 작아,분수 비교,심화
"3/8, 5/8, 1/8 중 가장 큰 것은?",5/8,3/8,1/8,5/11,조각이 클수록 나눈 수가 작아,분수 비교,심화
"1/9, 4/9, 2/9 중 가장 큰 것은?",4/9,1/9,2/9,4/12,조각이 클수록 나눈 수가 작아,분수 비교,심화
