문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
반지름이 3cm인 원의 지름은 몇 cm일까?,6,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 5cm인 원의 지름은 몇 cm일까?,10,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 7cm인 원의 지름은 몇 cm일까?,14,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 8cm인 원의 지름은 몇 cm일까?,16,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 12cm인 원의 지름은 몇 cm일까?,24,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 15cm인 원의 지름은 몇 cm일까?,30,,,,지름은 반지름의 두 배야,반지름과 지름,
반지름이 20cm인 원의 지름은 몇 cm일까?,40,,,,지름은 반지름의 두 배야,반지름과 지름,
지름이 6cm인 원의 반지름은 몇 cm일까?,3,,,,반지름은 지름의 반이야,반지름과 지름,
지름이 10cm인 원의 반지름은 몇 cm일까?,5,,,,반지름은 지름의 반이야,반지름과 지름,
지름이 14cm인 원의 반지름은 몇 cm일까?,7,,,,반지름은 지름의 반이야,반지름과 지름,
지름이 18cm인 원의 반지름은 몇 cm일까?,9,,,,반지름은 지름의 반이야,반지름과 지름,
지름이 24cm인 원의 반지름은 몇 cm일까?,12,,,,반지름은 지름의 반이야,반지름과 지름,
지름이 30cm인 원의 반지름은 몇 cm일까?,15,,,,반지름은 지름의 반이야,반지름과 지름,
원의 한가운데 점을 뭐라고 할까?,원의 중심,반지름,지름,원주,가운데에 있는 점이야,원의 이름,
원의 중심에서 원 위의 한 점까지 그은 선은?,반지름,지름,원의 중심,둘레,중심에서 가장자리까지야,원의 이름,
반지름이 4cm인 원 두 개를 나란히 붙이면 가로 길이는 몇 cm일까?,16,,,,지름 두 개를 이어 붙인 거야,원 두 개,심화
반지름이 6cm인 원 두 개를 나란히 붙이면 가로 길이는 몇 cm일까?,24,,,,지름 두 개를 이어 붙인 거야,원 두 개,심화
반지름이 9cm인 원 두 개를 나란히 붙이면 가로 길이는 몇 cm일까?,36,,,,지름 두 개를 이어 붙인 거야,원 두 개,심화
반지름이 11cm인 원 두 개를 나란히 붙이면 가로 길이는 몇 cm일까?,44,,,,지름 두 개를 이어 붙인 거야,원 두 개,심화
반지름이 14cm인 원 두 개를 나란히 붙이면 가로 길이는 몇 cm일까?,56,,,,지름 두 개를 이어 붙인 거야,원 두 개,심화
지름이 8cm인 원 안에 반지름을 세 번 그으면 모두 몇 cm일까?,12,,,,반지름은 4cm야,두 단계,심화
지름이 12cm인 원 안에 반지름을 세 번 그으면 모두 몇 cm일까?,18,,,,반지름은 6cm야,두 단계,심화
지름이 16cm인 원 안에 반지름을 세 번 그으면 모두 몇 cm일까?,24,,,,반지름은 8cm야,두 단계,심화
지름이 20cm인 원 안에 반지름을 세 번 그으면 모두 몇 cm일까?,30,,,,반지름은 10cm야,두 단계,심화
지름이 26cm인 원 안에 반지름을 세 번 그으면 모두 몇 cm일까?,39,,,,반지름은 13cm야,두 단계,심화
반지름이 5cm인 원의 지름보다 3cm 긴 길이는 몇 cm일까?,13,,,,지름은 10cm야. 거기에 3을 더해,두 단계,심화
반지름이 7cm인 원의 지름보다 3cm 긴 길이는 몇 cm일까?,17,,,,지름은 14cm야. 거기에 3을 더해,두 단계,심화
반지름이 10cm인 원의 지름보다 3cm 긴 길이는 몇 cm일까?,23,,,,지름은 20cm야. 거기에 3을 더해,두 단계,심화
반지름이 13cm인 원의 지름보다 3cm 긴 길이는 몇 cm일까?,29,,,,지름은 26cm야. 거기에 3을 더해,두 단계,심화
