문제,정답,오답1,오답2,오답3,힌트,묶음
구석기 사람들은 어디에서 살았을까?,동굴,움집,기와집,초가집,비바람을 피할 수 있는 곳을 찾아다녔어,집과 생활
구석기 사람들은 먹을 것을 어떻게 얻었을까?,사냥과 채집,농사,장사,물고기 양식,직접 기르지 않고 찾아다녔어,집과 생활
구석기 사람들은 한곳에 머물지 않고 어떻게 살았을까?,이동생활,정착생활,도시생활,바다생활,먹을 것을 따라 옮겨 다녔어,집과 생활
신석기 사람들이 땅을 파고 지은 집은?,움집,동굴,기와집,이층집,땅을 조금 파고 그 위에 지붕을 얹었어,집과 생활
신석기 시대에 새로 시작된 것은?,농사,사냥,전쟁,장사,씨를 뿌려 먹을 것을 직접 길렀어,집과 생활
농사를 짓게 된 신석기 사람들은 어떻게 살게 되었을까?,정착생활,이동생활,동굴생활,사냥생활,농사를 지으려면 한곳에 머물러야 해,집과 생활
청동기 시대에 널리 퍼진 농사는?,벼농사,밀농사,목화농사,감자농사,우리가 밥으로 먹는 곡식이야,집과 생활
구석기 사람들이 돌을 깨뜨려 만든 도구는?,뗀석기,간석기,청동검,철기,깨뜨릴 때 나는 소리를 생각해봐,도구
구석기 시대의 대표 도구로 손에 쥐고 쓰던 것은?,주먹도끼,반달돌칼,가락바퀴,청동거울,손에 쥐는 크기였어,도구
신석기 사람들이 돌을 갈아서 만든 도구는?,간석기,뗀석기,청동검,철기,매끈하게 갈아서 만들었어,도구
신석기 사람들이 실을 뽑을 때 쓴 도구는?,가락바퀴,주먹도끼,반달돌칼,청동거울,옷을 지으려면 실이 필요했어,도구
청동기 시대에 처음 만든 금속 도구는?,청동검,철검,금검,은검,구리와 주석을 섞어 만들었어,도구
청동기 시대에 곡식의 이삭을 자르던 도구는?,반달돌칼,주먹도끼,가락바퀴,청동거울,반달처럼 생긴 돌칼이야,도구
신석기 시대를 대표하는 토기는?,빗살무늬토기,민무늬토기,백자,청자,겉에 빗살 같은 무늬가 그어져 있어,토기와 유적
청동기 시대의 무늬가 없는 토기는?,민무늬토기,빗살무늬토기,백자,청자,'민'은 아무것도 없다는 뜻이야,토기와 유적
청동기 시대 힘 있는 사람의 무덤으로 큰 돌을 얹은 것은?,고인돌,움집,성벽,돌담,커다란 돌을 옮기려면 많은 사람이 필요했어,토기와 유적
신석기 사람들이 조개껍데기를 버려서 쌓인 유적은?,조개더미,고인돌,성벽,돌담,바닷가 마을에서 많이 나와,토기와 유적
청동기 시대에 처음 생겨난 것으로 사람들 사이의 높고 낮음을 뜻하는 말은?,계급,평등,이동,채집,농사가 잘된 사람과 아닌 사람이 생겼어,나라의 시작
우리 역사에서 가장 먼저 세워진 나라는?,고조선,고구려,신라,백제,'가장 오래된 조선'이라는 뜻이야,나라의 시작
고조선을 세웠다고 전해지는 사람은?,단군왕검,주몽,박혁거세,왕건,단군 이야기에 나오는 이름이야,나라의 시작
고조선은 어느 시대의 문화를 바탕으로 세워졌을까?,청동기,구석기,신석기,철기,청동으로 도구를 만들던 때야,나라의 시작
고조선에 있었던 법으로 지금 세 가지가 전해지는 것은?,8조법,화백회의,골품제,과거제,여덟 개 조항 중 세 개만 남아 있어,나라의 시작
고조선의 문화 범위를 알려주는 청동검의 이름은?,비파형 동검,반달돌칼,주먹도끼,가락바퀴,비파라는 악기를 닮았어,나라의 시작
시대의 순서로 맞는 것은?,구석기 신석기 청동기,신석기 구석기 청동기,청동기 신석기 구석기,신석기 청동기 구석기,돌을 깨던 때가 가장 먼저야,나라의 시작
