문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
청동기 시대를 대표하는 비파 모양의 검은?,비파형 동검,,,,악기 비파를 닮았어,유물,
힘센 사람의 무덤으로 만든 커다란 돌은?,고인돌,,,,큰 돌을 얹어 만들었어,유물,
무늬가 없어 밋밋한 청동기 시대 그릇은?,민무늬토기,,,,무늬가 없다는 뜻이야,유물,
곡식 이삭을 자를 때 쓴 반달 모양 돌칼은?,반달돌칼,,,,모양이 반달이야,유물,
제사장이 햇빛을 반사시킬 때 쓴 청동 물건은?,청동 거울,,,,번쩍번쩍 빛나,유물,
제사를 지낼 때 소리를 내던 청동 물건은?,청동 방울,,,,흔들면 소리가 나,유물,
우리나라 최초의 나라는?,고조선,고구려,백제,신라,단군 이야기에 나와,나라와 사람,
고조선을 세웠다고 전해지는 사람은?,단군왕검,주몽,온조,박혁거세,곰 이야기에 나오는 사람이야,나라와 사람,
고조선의 도읍이라고 전해지는 곳은?,아사달,,,,해가 뜨는 땅이라는 뜻이야,고조선,
널리 사람을 이롭게 한다는 고조선의 뜻은?,홍익인간,,,,모두를 이롭게 한다는 말이야,고조선,
고조선에 있었다는 여덟 가지 법을 뭐라고 할까?,팔조법,,,,여덟 조라는 뜻이야,고조선,
곰과 호랑이가 나오는 고조선의 옛 이야기는?,단군 이야기,,,,쑥과 마늘이 나와,고조선,
"청동기 시대에 처음 생긴, 사람 사이의 높낮이를 뭐라고 할까?",계급,농사,사냥,불,고인돌이 그걸 알려줘,청동기 살이,
벼농사가 널리 퍼진 시대는?,청동기,구석기,신석기,조선,반달돌칼로 이삭을 잘랐어,청동기 살이,
청동은 구리에 무엇을 섞어 만들까?,주석,철,금,흙,구리에 섞어 단단하게 해,청동기 살이,
청동기 시대에 무기와 제사 도구는 주로 무엇으로 만들었을까?,청동,철,금,나무,귀해서 아무나 못 가졌어,청동기 살이,
청동기 시대에 농사 도구는 주로 무엇으로 만들었을까?,돌,청동,철,금,청동은 너무 귀했어,청동기 살이,
마을을 다스리던 힘센 우두머리를 뭐라고 불렀을까?,군장,백성,노비,상인,가장 큰 고인돌의 주인이야,청동기 살이,
"청동기 시대 사람들이 살던, 땅 위에 지은 집은?",지상 가옥,동굴,막집,아파트,움집보다 땅 위로 올라왔어,청동기 살이,
고조선이 나중에 힘이 세지며 쓰기 시작한 금속은?,철,금,은,구리,청동보다 단단해,청동기 살이,
청동기 시대에 힘센 사람이 나타난 까닭은?,곡식이 남아서,돌이 많아서,사냥을 잘해서,집이 커서,남는 것을 가진 사람이 생겨,왜 그랬을까,심화
고인돌이 아주 큰 까닭은?,힘센 우두머리의 무덤이라서,집이라서,창고라서,제사 그릇이라서,옮기려면 사람이 많이 필요해,왜 그랬을까,심화
청동으로 농사 도구를 안 만든 까닭은?,귀하고 무뎌서,너무 가벼워서,색이 예뻐서,녹이 슬어서,청동은 아무나 못 가졌어,왜 그랬을까,심화
돌과 청동 중 먼저 쓴 것은?,돌,청동,철,금,만들기 쉬운 쪽이 먼저야,먼저와 나중,심화
단군왕검이 나라 이름을 무엇이라 했나?,고조선,고구려,신라,백제,우리나라 첫 나라야,무엇이 다를까,심화
고조선의 법에서 사람을 죽이면 어떻게 했나?,죽음으로 갚게 했다,곡식으로 갚게 했다,노비가 되게 했다,쫓아냈다,여덟 조항 중 첫 번째야,왜 그랬을까,심화
