문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
넓은 땅을 차지해 이름에 크다는 뜻이 붙은 고구려 왕은?,광개토대왕,,,,땅을 넓게 열었다는 뜻이야,왕,
도읍을 평양으로 옮기고 남쪽으로 내려온 고구려 왕은?,장수왕,,,,아주 오래 살았어,왕,
백제의 힘이 가장 셌을 때의 왕은?,근초고왕,,,,고구려까지 밀어붙였어,왕,
한강을 차지하고 신라를 크게 키운 왕은?,진흥왕,,,,순수비를 여러 곳에 세웠어,왕,
신라에서 불교를 받아들인 왕은?,법흥왕,,,,이차돈의 이야기에 나와,왕,
고구려에 불교를 받아들이고 학교를 세운 왕은?,소수림왕,,,,태학을 세웠어,왕,
광개토대왕의 업적을 새겨 아들이 세운 비석은?,광개토대왕릉비,,,,아주 커다란 돌기둥이야,유물과 유적,
무덤 주인이 누구인지 확실히 밝혀진 백제 왕의 무덤은?,무령왕릉,,,,돌에 이름이 적혀 있었어,유물과 유적,
"백제의 뛰어난 솜씨를 보여주는, 뚜껑에 봉황이 앉은 향로는?",금동대향로,,,,향을 피우는 그릇이야,유물과 유적,
진흥왕이 땅을 넓히고 세운 비석은?,북한산 순수비,,,,왕이 다녀갔다는 표시야,유물과 유적,
신라 사람들이 하늘을 살피려고 지은 건물은?,첨성대,,,,별을 보는 곳이야,유물과 유적,
"고구려 무덤 벽에 그려진, 춤추는 사람들 그림으로 유명한 무덤은?",무용총,,,,춤 그림이 있어,유물과 유적,
삼국 가운데 가장 먼저 전성기를 맞은 나라는?,백제,고구려,신라,가야,근초고왕 때야,전성기,
삼국 가운데 가장 늦게 전성기를 맞은 나라는?,신라,고구려,백제,가야,진흥왕 때야,전성기,
광개토대왕과 장수왕 때 전성기를 맞은 나라는?,고구려,백제,신라,가야,땅이 가장 넓었을 때야,전성기,
삼국이 전성기 때 공통으로 차지했던 곳은?,한강 유역,제주도,만주 전체,일본,넓은 들과 바닷길이 있어,전성기,
신라가 화랑들을 길러 나라의 힘으로 삼은 제도는?,화랑도,과거제,골품제,음서제,젊은이들을 모아 가르쳤어,전성기,
신라에서 태어난 집안에 따라 자리가 정해지던 제도는?,골품제,화랑도,율령,팔조법,뼈의 등급이라는 뜻이야,전성기,
백제가 바다 건너 일본에 전해준 것은?,불교,한글,금속 활자,거북선,문화를 많이 전해줬어,전성기,
장수왕이 도읍을 옮긴 곳은?,평양,졸본,금성,위례성,남쪽으로 내려왔어,전성기,
광개토대왕이 이름에 넓을 광을 쓴 까닭은?,땅을 크게 넓혀서,키가 커서,오래 살아서,성을 지어서,이름이 곧 한 일이야,왜 그랬을까,심화
장수왕이 도읍을 평양으로 옮긴 까닭은?,남쪽으로 내려가려고,북쪽이 추워서,바다가 멀어서,적이 쳐들어와서,내려가려면 가까워야 해,왜 그랬을까,심화
세 나라가 모두 한강을 차지하려 한 까닭은?,기름진 땅과 뱃길이 있어서,산이 높아서,금이 나서,성이 있어서,강 하나에 두 가지가 있어,왜 그랬을까,심화
한강을 마지막으로 차지한 나라는?,신라,고구려,백제,가야,가장 늦게 힘을 키운 나라야,먼저와 나중,심화
진흥왕이 순수비를 세운 까닭은?,여기까지 내 땅이라고 알리려고,길을 알리려고,무덤을 만들려고,제사를 지내려고,돌에 새겨두면 오래가,왜 그랬을까,심화
