문제,정답,오답1,오답2,오답3,힌트,묶음,난이도
고려를 세운 사람은?,왕건,,,,후삼국을 하나로 합쳤어,인물,
말로 거란을 물러가게 하고 강동 6주를 얻은 사람은?,서희,,,,싸우지 않고 이겼어,인물,
귀주에서 거란을 크게 물리친 사람은?,강감찬,,,,귀주 대첩이야,인물,
화약을 만들어 왜구를 물리친 사람은?,최무선,,,,화포를 만들었어,인물,
목화씨를 들여와 옷을 따뜻하게 만든 사람은?,문익점,,,,붓대 속에 씨를 숨겼다고 해,인물,
끝까지 몽골에 맞서 싸운 고려의 군대는?,삼별초,,,,"강화도에서 진도, 제주도까지 갔어",인물,
몽골이 쳐들어왔을 때 부처의 힘으로 막으려 새긴 것은?,팔만대장경,,,,나무판이 팔만 장이 넘어,문화재,
푸른빛이 도는 고려의 자랑스러운 그릇은?,고려청자,,,,비색이라고 불렀어,문화재,
세계에서 가장 오래된 금속 활자 인쇄본은?,직지심체요절,,,,지금은 프랑스에 있어,문화재,
고려가 세계에서 처음 만들어 쓴 인쇄 기술은?,금속 활자,,,,글자를 쇠로 만들었어,문화재,
고려의 도읍은?,개경,,,,지금의 개성이야,문화재,
고려 시대에 나라에서 세운 최고 교육 기관은?,국자감,,,,관리가 될 사람을 가르쳤어,문화재,
"고려가 후삼국을 통일하기 전, 견훤이 세운 나라는?",후백제,후고구려,발해,가야,백제를 잇겠다고 했어,후삼국,
"궁예가 세운 나라로, 왕건이 이어받은 나라는?",후고구려,후백제,발해,신라,뒤에 고려가 됐어,후삼국,
고려가 거란·몽골과 싸울 때 도읍을 옮긴 섬은?,강화도,제주도,진도,울릉도,바다로 둘러싸여 있어,후삼국,
"고려에 쳐들어와 오랫동안 싸운, 초원에서 온 나라는?",몽골,거란,여진,일본,아주 넓은 땅을 차지했어,후삼국,
고려 시대에 관리를 뽑던 시험은?,과거,골품제,화랑도,음서,글을 보고 뽑았어,고려 살림,
벽란도에 외국 상인이 드나들며 알려진 우리나라 이름은?,코리아,조선,한국,신라,고려에서 나온 말이야,고려 살림,
고려 사람들이 나라의 큰 일을 부처에게 빌던 종교는?,불교,유교,도교,천주교,절을 많이 지었어,고려 살림,
고려의 대표적인 무역항은?,벽란도,부산,인천,청해진,개경 가까이 있는 항구야,고려 살림,
왕건이 나라 이름을 고려라 한 까닭은?,고구려를 잇는다는 뜻으로,고조선을 이어서,땅이 높아서,왕의 이름이라서,이름에 뜻을 담았어,왜 그랬을까,심화
서희가 싸우지 않고 땅을 얻은 방법은?,말로 따져서,선물을 줘서,성을 쌓아서,군사를 모아서,칼 대신 말을 썼어,왜 그랬을까,심화
팔만대장경을 만든 까닭은?,부처의 힘으로 몽골을 물리치려고,글을 배우려고,책을 팔려고,왕을 위해서,나무판에 온 마음을 새겼어,왜 그랬을까,심화
고려가 강화도로 도읍을 옮긴 까닭은?,몽골이 바다를 두려워해서,땅이 넓어서,먹을 게 많아서,성이 있어서,몽골은 말은 잘 타도 배는 약했어,왜 그랬을까,심화
고려청자가 귀한 까닭은?,만드는 법이 아주 어려워서,금으로 만들어서,아주 커서,외국에서 와서,빛깔을 내기가 힘들어,왜 그랬을까,심화
