문제,정답,오답1,오답2,오답3,힌트,묶음
조선을 세운 사람은?,이성계,,,,위화도에서 군대를 돌렸어,인물
"조선을 세우는 데 큰 도움을 준, 한양을 설계한 사람은?",정도전,,,,경복궁 이름도 지었어,인물
한글을 만든 조선의 왕은?,세종대왕,,,,만 원짜리 지폐에 있어,인물
노비 출신으로 여러 기구를 만든 발명가는?,장영실,,,,세종이 알아보고 뽑았어,인물
"그림과 글씨로 이름난, 율곡의 어머니는?",신사임당,,,,오만 원짜리 지폐에 있어,인물
조선의 이름난 학자로 천 원짜리 지폐에 있는 사람은?,이황,,,,퇴계라고도 불러,인물
세종이 백성을 위해 만든 우리 글자는?,훈민정음,,,,백성을 가르치는 바른 소리라는 뜻이야,발명품
비가 얼마나 왔는지 재던 기구는?,측우기,,,,빗물을 담아서 재,발명품
해 그림자로 시각을 알던 해시계는?,앙부일구,,,,솥을 뒤집은 모양이야,발명품
스스로 시각을 알려주던 물시계는?,자격루,,,,스스로 친다는 뜻이야,발명품
"별과 해, 달의 움직임을 살피던 기구는?",혼천의,,,,하늘을 본뜬 둥근 기구야,발명품
조선의 임금이 살며 나라를 다스린 궁궐은?,경복궁,,,,한양의 첫 궁궐이야,건물
한양 도성의 남쪽 큰 문은?,숭례문,,,,남대문이라고도 불러,건물
한양 도성의 동쪽 큰 문은?,흥인지문,,,,동대문이라고도 불러,건물
임금과 왕비의 신주를 모신 곳은?,종묘,,,,제사를 지내는 곳이야,건물
조선의 도읍은?,한양,,,,지금의 서울이야,건물
조선이 나라를 다스리는 근본으로 삼은 가르침은?,유교,불교,도교,천주교,어른을 공경하고 예를 지켜,조선 살림
조선 시대에 글을 배우던 마을의 작은 학교는?,서당,국자감,성균관,향교,훈장님이 가르쳐,조선 살림
조선 시대 최고의 교육 기관은?,성균관,서당,국자감,태학,과거를 준비하던 곳이야,조선 살림
조선 시대에 관리가 되려면 봐야 했던 시험은?,과거,골품제,음서,화랑도,글로 뽑았어,조선 살림
조선 시대 신분 가운데 가장 높았던 것은?,양반,중인,상민,천민,글을 읽고 관리가 됐어,신분
통역이나 의술처럼 전문 일을 하던 신분은?,중인,양반,상민,천민,기술을 가진 사람들이야,신분
농사를 짓고 세금을 내던 대부분의 백성은?,상민,양반,중인,천민,나라의 가장 많은 사람들이야,신분
가장 낮은 대접을 받던 신분은?,천민,양반,중인,상민,노비가 여기에 속해,신분
세종이 만든 글자를 백성이 쉽게 배울 수 있었던 까닭은?,글자 수가 적어서,한자와 같아서,그림이라서,외국 글자라서,스물여덟 자뿐이었어,신분
